timestamp,perf_time_sec,sample_index,DAT1,DAT2,DAT3,DAT4
2026-05-22T15:24:01.482,96202.243920,3950,7135627,9245459,8910767,8071933
2026-05-22T15:24:01.497,96202.258735,3951,7135703,9245417,8910897,8071969
2026-05-22T15:24:01.512,96202.273797,3952,7135675,9245525,8910661,8072075
2026-05-22T15:24:01.512,96202.274102,3953,7135735,9245439,8910871,8071965
2026-05-22T15:24:01.527,96202.288442,3954,7135773,9245537,8910685,8072021
2026-05-22T15:24:01.527,96202.288689,3955,7135787,9245487,8911099,8072005
2026-05-22T15:24:01.541,96202.303259,3956,7135669,9245587,8910877,8072073
2026-05-22T15:24:01.557,96202.318354,3957,7135605,9245487,8910979,8071983
2026-05-22T15:24:01.586,96202.347580,3958,7135611,9245539,8910717,8072029
2026-05-22T15:24:01.586,96202.348204,3959,7135661,9245419,8910953,8071985
2026-05-22T15:24:01.602,96202.364003,3960,7135643,9245529,8910763,8072187
2026-05-22T15:24:01.602,96202.364299,3961,7135635,9245409,8910985,8072131
2026-05-22T15:24:01.603,96202.364434,3962,7135569,9245495,8910737,8072141
2026-05-22T15:24:01.603,96202.364569,3963,7135479,9245403,8911071,8072055
2026-05-22T15:24:01.604,96202.366012,3964,7135413,9245503,8910949,8072149
2026-05-22T15:24:01.617,96202.378665,3965,7135355,9245285,8911259,8072139
2026-05-22T15:24:01.617,96202.378887,3966,7135271,9245379,8910959,8072161
2026-05-22T15:24:01.633,96202.394333,3967,7135275,9245345,8911151,8072063
2026-05-22T15:24:01.633,96202.394655,3968,7135245,9245449,8910915,8072079
2026-05-22T15:24:01.633,96202.394759,3969,7135227,9245323,8911111,8072037
2026-05-22T15:24:01.647,96202.408973,3970,7135209,9245435,8910859,8072157
2026-05-22T15:24:01.662,96202.423678,3971,7135207,9245341,8911171,8072087
2026-05-22T15:24:01.678,96202.440263,3972,7135215,9245425,8910949,8072203
2026-05-22T15:24:01.693,96202.454873,3973,7135151,9245287,8911201,8072099
2026-05-22T15:24:01.693,96202.455137,3974,7135097,9245411,8910837,8072105
2026-05-22T15:24:01.693,96202.455181,3975,7135087,9245291,8911067,8072053
2026-05-22T15:24:01.736,96202.497476,3976,7135183,9245427,8910911,8072149
2026-05-22T15:24:01.736,96202.498120,3977,7135249,9245349,8911173,8072091
2026-05-22T15:24:01.754,96202.515616,3978,7135307,9245385,8910819,8072069
2026-05-22T15:24:01.754,96202.515977,3979,7135177,9245259,8911139,8072015
2026-05-22T15:24:01.754,96202.516019,3980,7135227,9245401,8910927,8072065
2026-05-22T15:24:01.769,96202.530291,3981,7135297,9245293,8911201,8072037
2026-05-22T15:24:01.783,96202.544818,3982,7135325,9245383,8910947,8072053
2026-05-22T15:24:01.783,96202.545120,3983,7135367,9245331,8911241,8072041
2026-05-22T15:24:01.783,96202.545237,3984,7135443,9245451,8911055,8072099
2026-05-22T15:24:01.784,96202.545373,3985,7135401,9245329,8911273,8071905
2026-05-22T15:24:01.784,96202.545496,3986,7135383,9245391,8911023,8071605
2026-05-22T15:24:01.799,96202.560445,3987,7135285,9245271,8911305,8071731
2026-05-22T15:24:01.814,96202.575497,3988,7135237,9245403,8910945,8072057
2026-05-22T15:24:01.814,96202.575761,3989,7135135,9245295,8911215,8072083
2026-05-22T15:24:01.827,96202.588377,3990,7135167,9245403,8910979,8072161
2026-05-22T15:24:01.842,96202.603505,3991,7135205,9245273,8911233,8072069
2026-05-22T15:24:01.858,96202.620055,3992,7135339,9245387,8910945,8072107
2026-05-22T15:24:01.873,96202.634890,3993,7135381,9245293,8911287,8072101
2026-05-22T15:24:01.888,96202.650238,3994,7135401,9245401,8911043,8072117
2026-05-22T15:24:01.889,96202.650499,3995,7135297,9245289,8911355,8072015
2026-05-22T15:24:01.889,96202.650558,3996,7135331,9245427,8911131,8072079
2026-05-22T15:24:01.889,96202.650674,3997,7135271,9245365,8911343,8072039
2026-05-22T15:24:01.889,96202.650810,3998,7135287,9245445,8911071,8072055
2026-05-22T15:24:01.903,96202.664993,3999,7135203,9245347,8911377,8072051
2026-05-22T15:24:01.904,96202.665319,4000,7135241,9245427,8911119,8072011
2026-05-22T15:24:01.904,96202.665369,4001,7135225,9245409,8911299,8071931
2026-05-22T15:24:01.918,96202.679360,4002,7135359,9245503,8911061,8071949
2026-05-22T15:24:01.933,96202.694536,4003,7135297,9245453,8911361,8071723
2026-05-22T15:24:01.933,96202.694831,4004,7135397,9245513,8911097,8071451
2026-05-22T15:24:01.933,96202.694974,4005,7135373,9245437,8911441,8071805
2026-05-22T15:24:01.933,96202.695193,4006,7135337,9245523,8911159,8072131
2026-05-22T15:24:01.949,96202.710604,4007,7135197,9245417,8911345,8072017
2026-05-22T15:24:01.949,96202.710981,4008,7135241,9245439,8911067,8071995
2026-05-22T15:24:01.963,96202.725118,4009,7135157,9245413,8911303,8072053
2026-05-22T15:24:01.964,96202.725332,4010,7135265,9245477,8910995,8072123
2026-05-22T15:24:01.977,96202.739199,4011,7135219,9245317,8911261,8072101
2026-05-22T15:24:01.978,96202.739418,4012,7135309,9245361,8911099,8072133
2026-05-22T15:24:01.978,96202.739466,4013,7135419,9245333,8911373,8072057
2026-05-22T15:24:01.993,96202.754727,4014,7135531,9245403,8911093,8071743
2026-05-22T15:24:02.036,96202.797494,4015,7135417,9245359,8911343,8071885
2026-05-22T15:24:02.052,96202.813557,4016,7135469,9245367,8911127,8072013
2026-05-22T15:24:02.052,96202.813745,4017,7135423,9245319,8911435,8071985
2026-05-22T15:24:02.053,96202.815146,4018,7135481,9245409,8911099,8072009
2026-05-22T15:24:02.053,96202.815290,4019,7135389,9245341,8911269,8071989
2026-05-22T15:24:02.054,96202.815393,4020,7135457,9245333,8911043,8071949
2026-05-22T15:24:02.068,96202.829433,4021,7135413,9245247,8911257,8071937
2026-05-22T15:24:02.068,96202.829805,4022,7135545,9245313,8911009,8071943
2026-05-22T15:24:02.068,96202.829848,4023,7135467,9245291,8911201,8071981
2026-05-22T15:24:02.083,96202.844980,4024,7135599,9245295,8910903,8072021
2026-05-22T15:24:02.099,96202.860412,4025,7135561,9245271,8911171,8072005
2026-05-22T15:24:02.114,96202.875390,4026,7135649,9245321,8910957,8072061
2026-05-22T15:24:02.128,96202.889619,4027,7135555,9245361,8911237,8072043
2026-05-22T15:24:02.143,96202.905011,4028,7135567,9245379,8911015,8072041
2026-05-22T15:24:02.158,96202.919753,4029,7135445,9245377,8911179,8072047
2026-05-22T15:24:02.158,96202.919978,4030,7135509,9245405,8911071,8072041
2026-05-22T15:24:02.158,96202.920182,4031,7135457,9245389,8911331,8072079
2026-05-22T15:24:02.173,96202.934987,4032,7135543,9245407,8911047,8072091
2026-05-22T15:24:02.188,96202.949404,4033,7135369,9245415,8911261,8072137
2026-05-22T15:24:02.188,96202.949672,4034,7135437,9245365,8911051,8072117
2026-05-22T15:24:02.188,96202.949766,4035,7135415,9245327,8911269,8072165
2026-05-22T15:24:02.189,96202.950422,4036,7135565,9245355,8911111,8072151
2026-05-22T15:24:02.204,96202.965970,4037,7135535,9245315,8911303,8072125
2026-05-22T15:24:02.204,96202.966211,4038,7135663,9245357,8911131,8072075
2026-05-22T15:24:02.219,96202.981093,4039,7135559,9245365,8911313,8072107
2026-05-22T15:24:02.233,96202.995085,4040,7135613,9245377,8911003,8072121
2026-05-22T15:24:02.249,96203.010391,4041,7135533,9245337,8911143,8072109
2026-05-22T15:24:02.264,96203.025791,4042,7135681,9245303,8910935,8072067
2026-05-22T15:24:02.279,96203.041251,4043,7135569,9245281,8911153,8072097
2026-05-22T15:24:02.280,96203.041547,4044,7135629,9245197,8910911,8072057
2026-05-22T15:24:02.293,96203.054445,4045,7135541,9245209,8911087,8072053
2026-05-22T15:24:02.293,96203.054682,4046,7135617,9245235,8910991,8071943
2026-05-22T15:24:02.293,96203.054807,4047,7135519,9245325,8911239,8072027
2026-05-22T15:24:02.337,96203.098335,4048,7135577,9245269,8911057,8072087
2026-05-22T15:24:02.353,96203.115225,4049,7135439,9245317,8911323,8072107
2026-05-22T15:24:02.369,96203.130941,4050,7135571,9245275,8911161,8072085
2026-05-22T15:24:02.384,96203.145402,4051,7135517,9245355,8911313,8072085
2026-05-22T15:24:02.399,96203.161035,4052,7135605,9245351,8911023,8072053
2026-05-22T15:24:02.413,96203.174687,4053,7135499,9245371,8911217,8072047
2026-05-22T15:24:02.413,96203.175109,4054,7135579,9245321,8911021,8071997
2026-05-22T15:24:02.429,96203.190359,4055,7135471,9245323,8911175,8072071
2026-05-22T15:24:02.441,96203.203265,4056,7135563,9245253,8911029,8071811
2026-05-22T15:24:02.442,96203.203455,4057,7135473,9245315,8911265,8071917
